#time[s]	yaw[degree]	pitch[degree]	roll[degree]
2400.007327	1.172e+001	-6.718e+000	4.339e+000
2400.021992	1.170e+001	-6.714e+000	4.306e+000
2400.027284	1.167e+001	-6.702e+000	4.266e+000
2400.037729	1.165e+001	-6.691e+000	4.240e+000
2400.047185	1.163e+001	-6.681e+000	4.207e+000
2400.062575	1.160e+001	-6.676e+000	4.174e+000
2400.067294	1.158e+001	-6.666e+000	4.148e+000
2400.077655	1.156e+001	-6.662e+000	4.121e+000
2400.087176	1.154e+001	-6.660e+000	4.102e+000
2400.098168	1.151e+001	-6.656e+000	4.075e+000
2400.108252	1.149e+001	-6.653e+000	4.056e+000
2400.117551	1.147e+001	-6.650e+000	4.036e+000
2400.130592	1.145e+001	-6.648e+000	4.023e+000
2400.137494	1.143e+001	-6.646e+000	4.003e+000
2400.149314	1.141e+001	-6.643e+000	3.983e+000
2400.157473	1.139e+001	-6.641e+000	3.964e+000
2400.169066	1.137e+001	-6.645e+000	3.944e+000
2400.177491	1.135e+001	-6.641e+000	3.917e+000
2400.187942	1.133e+001	-6.645e+000	3.889e+000
2400.197560	1.131e+001	-6.642e+000	3.863e+000
2400.208070	1.128e+001	-6.645e+000	3.836e+000
2400.217524	1.126e+001	-6.642e+000	3.809e+000
2400.229962	1.125e+001	-6.646e+000	3.781e+000
2400.237374	1.122e+001	-6.643e+000	3.755e+000
2400.247863	1.120e+001	-6.639e+000	3.728e+000
2400.257282	1.118e+001	-6.643e+000	3.701e+000
2400.267894	1.116e+001	-6.640e+000	3.674e+000
2400.277426	1.113e+001	-6.643e+000	3.647e+000
2400.287712	1.111e+001	-6.641e+000	3.627e+000
2400.297398	1.109e+001	-6.644e+000	3.600e+000
2400.308931	1.106e+001	-6.642e+000	3.588e+000
2400.317371	1.104e+001	-6.640e+000	3.575e+000
2400.328230	1.102e+001	-6.638e+000	3.562e+000
2400.337364	1.100e+001	-6.636e+000	3.550e+000
2400.350822	1.098e+001	-6.642e+000	3.543e+000
2400.358370	1.095e+001	-6.640e+000	3.531e+000
2400.367757	1.093e+001	-6.646e+000	3.525e+000
2400.377290	1.090e+001	-6.645e+000	3.526e+000
2400.388239	1.088e+001	-6.650e+000	3.519e+000
2400.397255	1.086e+001	-6.657e+000	3.520e+000
2400.407623	1.084e+001	-6.656e+000	3.514e+000
2400.417216	1.081e+001	-6.662e+000	3.515e+000
2400.427600	1.079e+001	-6.660e+000	3.510e+000
2400.437435	1.077e+001	-6.667e+000	3.510e+000
2400.447501	1.074e+001	-6.673e+000	3.511e+000
2400.457126	1.072e+001	-6.672e+000	3.512e+000
2400.467561	1.069e+001	-6.679e+000	3.520e+000
2400.477050	1.067e+001	-6.678e+000	3.522e+000
2400.487629	1.064e+001	-6.684e+000	3.523e+000
2400.497063	1.062e+001	-6.683e+000	3.524e+000
2400.507379	1.059e+001	-6.690e+000	3.525e+000
2400.516928	1.055e+001	-6.688e+000	3.527e+000
2400.527455	1.053e+001	-6.688e+000	3.529e+000
2400.536894	1.050e+001	-6.694e+000	3.530e+000
2400.547340	1.046e+001	-6.700e+000	3.531e+000
2400.556954	1.043e+001	-6.705e+000	3.526e+000
2400.567363	1.040e+001	-6.711e+000	3.520e+000
2400.576875	1.036e+001	-6.716e+000	3.521e+000
2400.587451	1.033e+001	-6.722e+000	3.516e+000
2400.596871	1.029e+001	-6.734e+000	3.510e+000
2400.607289	1.026e+001	-6.740e+000	3.511e+000
2400.616792	1.022e+001	-6.746e+000	3.520e+000
2400.627226	1.018e+001	-6.752e+000	3.521e+000
2400.636804	1.015e+001	-6.758e+000	3.523e+000
2400.647239	1.011e+001	-6.763e+000	3.525e+000
2400.658564	1.007e+001	-6.777e+000	3.532e+000
2400.667145	1.004e+001	-6.784e+000	3.541e+000
2400.676628	9.996e+000	-6.783e+000	3.557e+000
2400.687174	9.962e+000	-6.790e+000	3.573e+000
2400.696642	9.922e+000	-6.797e+000	3.589e+000
2400.707073	9.886e+000	-6.797e+000	3.604e+000
2400.717671	9.845e+000	-6.804e+000	3.620e+000
2400.727056	9.812e+000	-6.805e+000	3.643e+000
2400.736645	9.770e+000	-6.812e+000	3.666e+000
2400.747021	9.730e+000	-6.813e+000	3.696e+000
2400.756503	9.690e+000	-6.820e+000	3.719e+000
2400.768530	9.654e+000	-6.821e+000	3.742e+000
2400.778406	9.614e+000	-6.828e+000	3.765e+000
2400.786814	9.574e+000	-6.835e+000	3.788e+000
2400.797253	9.532e+000	-6.836e+000	3.818e+000
2400.806819	9.492e+000	-6.844e+000	3.848e+000
2400.817230	9.452e+000	-6.845e+000	3.878e+000
2400.826739	9.410e+000	-6.852e+000	3.908e+000
2400.837180	9.370e+000	-6.859e+000	3.931e+000
2400.846689	9.323e+000	-6.859e+000	3.955e+000
2400.857122	9.281e+000	-6.866e+000	3.978e+000
2400.867255	9.240e+000	-6.873e+000	3.993e+000
2400.877087	9.200e+000	-6.873e+000	4.017e+000
2400.899256	9.110e+000	-6.886e+000	4.049e+000
2400.910297	9.060e+000	-6.885e+000	4.066e+000
2400.917084	9.013e+000	-6.891e+000	4.075e+000
2400.964609	8.922e+000	-6.895e+000	4.087e+000
2400.965371	8.874e+000	-6.901e+000	4.090e+000
2400.966006	8.824e+000	-6.906e+000	4.092e+000
2400.966659	8.776e+000	-6.904e+000	4.095e+000
2400.978675	8.725e+000	-6.908e+000	4.091e+000
2401.004845	8.677e+000	-6.913e+000	4.086e+000
2401.005932	8.627e+000	-6.918e+000	4.081e+000
2401.006743	8.571e+000	-6.922e+000	4.071e+000
2401.021713	8.521e+000	-6.927e+000	4.066e+000
2401.026470	8.473e+000	-6.932e+000	4.062e+000
2401.044516	8.423e+000	-6.936e+000	4.057e+000
2401.046398	8.374e+000	-6.942e+000	4.059e+000
2401.058261	8.324e+000	-6.946e+000	4.055e+000
2401.090203	8.219e+000	-6.962e+000	4.039e+000
2401.091147	8.170e+000	-6.967e+000	4.034e+000
2401.096787	8.120e+000	-6.971e+000	4.030e+000
2401.109398	8.072e+000	-6.977e+000	4.032e+000
2401.117564	8.022e+000	-6.981e+000	4.028e+000
2401.128537	7.973e+000	-6.986e+000	4.017e+000
2401.138003	7.924e+000	-6.998e+000	4.012e+000
2401.146302	7.867e+000	-6.996e+000	4.015e+000
2401.160862	7.819e+000	-7.008e+000	4.017e+000
2401.166251	7.769e+000	-7.006e+000	4.020e+000
2401.176712	7.721e+000	-7.011e+000	4.016e+000
2401.196763	7.671e+000	-7.016e+000	4.011e+000
2401.197839	7.615e+000	-7.014e+000	4.008e+000
2401.221982	7.565e+000	-7.019e+000	4.010e+000
2401.222919	7.517e+000	-7.024e+000	4.013e+000
2401.229491	7.468e+000	-7.029e+000	4.015e+000
2401.261292	7.370e+000	-7.039e+000	4.014e+000
2401.262311	7.320e+000	-7.044e+000	4.009e+000
2401.266727	7.271e+000	-7.049e+000	4.005e+000
2401.276873	7.222e+000	-7.054e+000	4.000e+000
2401.286522	7.172e+000	-7.059e+000	3.996e+000
2401.296977	7.116e+000	-7.056e+000	3.993e+000
2401.307478	7.066e+000	-7.061e+000	3.995e+000
2401.316835	7.017e+000	-7.060e+000	3.991e+000
2401.330435	6.967e+000	-7.057e+000	3.980e+000
2401.336915	6.918e+000	-7.055e+000	3.976e+000
2401.346221	6.869e+000	-7.046e+000	3.980e+000
2401.358941	6.818e+000	-7.044e+000	3.976e+000
2401.366274	6.769e+000	-7.042e+000	3.972e+000
2401.378066	6.719e+000	-7.033e+000	3.968e+000
2401.387909	6.669e+000	-7.031e+000	3.957e+000
2401.396609	6.619e+000	-7.028e+000	3.953e+000
2401.406871	6.569e+000	-7.026e+000	3.943e+000
2401.416415	6.519e+000	-7.024e+000	3.938e+000
2401.426884	6.470e+000	-7.021e+000	3.928e+000
2401.436492	6.426e+000	-7.019e+000	3.916e+000
2401.447039	6.377e+000	-7.017e+000	3.912e+000
2401.457631	6.327e+000	-7.008e+000	3.902e+000
2401.466967	6.276e+000	-6.998e+000	3.884e+000
2401.477621	6.226e+000	-6.989e+000	3.881e+000
2401.487218	6.182e+000	-6.973e+000	3.870e+000
2401.496297	6.133e+000	-6.964e+000	3.866e+000
2401.506905	6.089e+000	-6.955e+000	3.855e+000
2401.516186	6.039e+000	-6.939e+000	3.852e+000
2401.527838	5.995e+000	-6.923e+000	3.841e+000
2401.536336	5.945e+000	-6.914e+000	3.838e+000
2401.546761	5.902e+000	-6.898e+000	3.834e+000
