#time[s]	yaw[degree]	pitch[degree]	roll[degree]
3000.007582	-4.880e+001	-3.078e+000	-1.453e+000
3000.032900	-4.879e+001	-3.071e+000	-1.456e+000
3000.033552	-4.878e+001	-3.065e+000	-1.459e+000
3000.034587	-4.877e+001	-3.058e+000	-1.462e+000
3000.046070	-4.877e+001	-3.049e+000	-1.459e+000
3000.057975	-4.875e+001	-3.043e+000	-1.462e+000
3000.064308	-4.875e+001	-3.036e+000	-1.465e+000
3000.074693	-4.873e+001	-3.036e+000	-1.466e+000
3000.089715	-4.873e+001	-3.030e+000	-1.469e+000
3000.094865	-4.872e+001	-3.023e+000	-1.472e+000
3000.104384	-4.871e+001	-3.023e+000	-1.472e+000
3000.121370	-4.870e+001	-3.014e+000	-1.469e+000
3000.151584	-4.869e+001	-3.008e+000	-1.456e+000
3000.152492	-4.868e+001	-3.005e+000	-1.450e+000
3000.154991	-4.867e+001	-2.999e+000	-1.438e+000
3000.165858	-4.867e+001	-2.999e+000	-1.438e+000
3000.176183	-4.865e+001	-2.996e+000	-1.432e+000
3000.187894	-4.864e+001	-2.993e+000	-1.426e+000
3000.194735	-4.863e+001	-2.990e+000	-1.420e+000
3000.209960	-4.862e+001	-2.987e+000	-1.414e+000
3000.216496	-4.862e+001	-2.987e+000	-1.414e+000
3000.226291	-4.861e+001	-2.984e+000	-1.408e+000
3000.235360	-4.860e+001	-2.984e+000	-1.408e+000
3000.244246	-4.859e+001	-2.983e+000	-1.408e+000
3000.255071	-4.859e+001	-2.983e+000	-1.408e+000
3000.264219	-4.857e+001	-2.983e+000	-1.408e+000
3000.274648	-4.857e+001	-2.983e+000	-1.409e+000
3000.284149	-4.856e+001	-2.977e+000	-1.412e+000
3000.294567	-4.855e+001	-2.977e+000	-1.412e+000
3000.304951	-4.854e+001	-2.976e+000	-1.412e+000
3000.314445	-4.853e+001	-2.983e+000	-1.410e+000
3000.324153	-4.852e+001	-2.983e+000	-1.410e+000
3000.335179	-4.852e+001	-2.980e+000	-1.404e+000
