#time[s]	yaw[degree]	pitch[degree]	roll[degree]
600.000155	1.190e+002	-6.241e+000	2.231e+000
600.009927	1.189e+002	-6.217e+000	2.246e+000
600.021025	1.189e+002	-6.189e+000	2.266e+000
600.029745	1.188e+002	-6.171e+000	2.284e+000
600.040118	1.188e+002	-6.147e+000	2.298e+000
600.049697	1.187e+002	-6.130e+000	2.315e+000
600.059997	1.187e+002	-6.106e+000	2.329e+000
600.069794	1.186e+002	-6.092e+000	2.340e+000
600.080033	1.185e+002	-6.080e+000	2.361e+000
600.089722	1.185e+002	-6.062e+000	2.379e+000
600.099995	1.184e+002	-6.047e+000	2.390e+000
600.111086	1.184e+002	-6.036e+000	2.411e+000
600.120057	1.183e+002	-6.021e+000	2.422e+000
600.129613	1.183e+002	-6.010e+000	2.428e+000
600.141926	1.182e+002	-5.996e+000	2.439e+000
600.149678	1.182e+002	-5.985e+000	2.444e+000
600.167474	1.181e+002	-5.981e+000	2.453e+000
600.169447	1.180e+002	-5.970e+000	2.458e+000
600.179886	1.180e+002	-5.968e+000	2.461e+000
600.189639	1.179e+002	-5.958e+000	2.466e+000
600.199927	1.179e+002	-5.956e+000	2.469e+000
600.209459	1.178e+002	-5.955e+000	2.472e+000
600.219965	1.178e+002	-5.952e+000	2.465e+000
600.229445	1.177e+002	-5.951e+000	2.468e+000
600.239866	1.177e+002	-5.953e+000	2.465e+000
600.249554	1.176e+002	-5.952e+000	2.467e+000
600.260006	1.176e+002	-5.955e+000	2.464e+000
600.269442	1.175e+002	-5.957e+000	2.461e+000
600.279861	1.175e+002	-5.966e+000	2.461e+000
600.290357	1.174e+002	-5.968e+000	2.458e+000
600.302730	1.174e+002	-5.974e+000	2.448e+000
600.313980	1.173e+002	-5.987e+000	2.442e+000
600.319846	1.173e+002	-5.996e+000	2.427e+000
600.329354	1.172e+002	-6.003e+000	2.418e+000
600.340030	1.172e+002	-6.018e+000	2.406e+000
600.350070	1.171e+002	-6.028e+000	2.391e+000
600.359916	1.171e+002	-6.035e+000	2.381e+000
600.369340	1.170e+002	-6.051e+000	2.369e+000
600.379829	1.170e+002	-6.065e+000	2.348e+000
600.389551	1.169e+002	-6.074e+000	2.333e+000
600.400227	1.169e+002	-6.088e+000	2.311e+000
600.410281	1.168e+002	-6.102e+000	2.290e+000
600.419738	1.168e+002	-6.122e+000	2.272e+000
600.429266	1.167e+002	-6.135e+000	2.251e+000
600.439841	1.167e+002	-6.153e+000	2.223e+000
600.449411	1.167e+002	-6.173e+000	2.206e+000
600.459723	1.166e+002	-6.190e+000	2.178e+000
600.469173	1.166e+002	-6.214e+000	2.155e+000
600.479657	1.165e+002	-6.233e+000	2.137e+000
600.489277	1.165e+002	-6.253e+000	2.119e+000
600.499670	1.164e+002	-6.277e+000	2.095e+000
600.510707	1.164e+002	-6.297e+000	2.078e+000
600.521333	1.163e+002	-6.317e+000	2.060e+000
600.529159	1.163e+002	-6.343e+000	2.046e+000
600.540965	1.163e+002	-6.362e+000	2.028e+000
600.552277	1.162e+002	-6.383e+000	2.010e+000
600.559678	1.162e+002	-6.403e+000	1.993e+000
600.569115	1.161e+002	-6.419e+000	1.981e+000
600.579346	1.161e+002	-6.445e+000	1.967e+000
600.590101	1.160e+002	-6.467e+000	1.959e+000
600.599295	1.160e+002	-6.489e+000	1.951e+000
600.608784	1.160e+002	-6.508e+000	1.948e+000
