#time[s]	yaw[degree]	pitch[degree]	roll[degree]
800.013547	-1.352e+002	-1.193e+001	-2.625e-001
800.019172	-1.352e+002	-1.190e+001	-2.565e-001
800.027957	-1.353e+002	-1.188e+001	-2.470e-001
800.037509	-1.354e+002	-1.186e+001	-2.436e-001
800.047055	-1.355e+002	-1.183e+001	-2.316e-001
800.057565	-1.356e+002	-1.180e+001	-2.345e-001
800.068628	-1.357e+002	-1.177e+001	-2.293e-001
800.079183	-1.357e+002	-1.174e+001	-2.259e-001
800.087014	-1.358e+002	-1.171e+001	-2.205e-001
800.097503	-1.359e+002	-1.168e+001	-2.212e-001
800.108697	-1.360e+002	-1.165e+001	-2.185e-001
800.117419	-1.361e+002	-1.163e+001	-2.216e-001
800.126923	-1.362e+002	-1.159e+001	-2.232e-001
800.139184	-1.363e+002	-1.157e+001	-2.199e-001
800.146930	-1.363e+002	-1.154e+001	-2.167e-001
800.157476	-1.364e+002	-1.152e+001	-2.209e-001
800.166948	-1.365e+002	-1.149e+001	-2.177e-001
800.177678	-1.366e+002	-1.147e+001	-2.155e-001
800.187214	-1.367e+002	-1.145e+001	-2.150e-001
800.197649	-1.368e+002	-1.142e+001	-2.187e-001
800.207197	-1.368e+002	-1.141e+001	-2.123e-001
800.220367	-1.369e+002	-1.139e+001	-2.121e-001
800.227180	-1.370e+002	-1.137e+001	-2.126e-001
800.237609	-1.371e+002	-1.136e+001	-2.147e-001
800.247150	-1.372e+002	-1.135e+001	-2.202e-001
800.257722	-1.372e+002	-1.134e+001	-2.233e-001
800.266885	-1.373e+002	-1.134e+001	-2.282e-001
800.277564	-1.374e+002	-1.133e+001	-2.337e-001
800.287101	-1.375e+002	-1.133e+001	-2.393e-001
800.297342	-1.376e+002	-1.133e+001	-2.467e-001
800.307081	-1.376e+002	-1.133e+001	-2.613e-001
800.319478	-1.377e+002	-1.133e+001	-2.758e-001
800.327067	-1.378e+002	-1.133e+001	-2.928e-001
800.337508	-1.379e+002	-1.133e+001	-3.070e-001
800.347082	-1.379e+002	-1.134e+001	-3.330e-001
800.357476	-1.380e+002	-1.135e+001	-3.565e-001
800.367055	-1.381e+002	-1.136e+001	-3.825e-001
800.377453	-1.382e+002	-1.136e+001	-4.128e-001
800.386989	-1.382e+002	-1.137e+001	-4.477e-001
800.397414	-1.383e+002	-1.138e+001	-4.736e-001
800.406959	-1.384e+002	-1.140e+001	-5.087e-001
800.417541	-1.385e+002	-1.141e+001	-5.438e-001
800.428476	-1.385e+002	-1.143e+001	-5.721e-001
800.437304	-1.386e+002	-1.145e+001	-6.096e-001
800.446948	-1.387e+002	-1.147e+001	-6.379e-001
800.457415	-1.387e+002	-1.149e+001	-6.760e-001
800.466892	-1.388e+002	-1.150e+001	-7.045e-001
800.478025	-1.389e+002	-1.153e+001	-7.418e-001
800.486793	-1.390e+002	-1.155e+001	-7.733e-001
800.497276	-1.390e+002	-1.156e+001	-8.080e-001
800.506756	-1.391e+002	-1.158e+001	-8.459e-001
800.517242	-1.392e+002	-1.161e+001	-8.767e-001
800.526786	-1.392e+002	-1.163e+001	-9.080e-001
800.537244	-1.393e+002	-1.165e+001	-9.453e-001
800.546795	-1.394e+002	-1.168e+001	-9.766e-001
800.557234	-1.394e+002	-1.170e+001	-1.014e+000
800.566970	-1.395e+002	-1.171e+001	-1.049e+000
800.581234	-1.396e+002	-1.174e+001	-1.087e+000
800.586708	-1.396e+002	-1.176e+001	-1.118e+000
800.597198	-1.397e+002	-1.178e+001	-1.155e+000
800.607366	-1.398e+002	-1.179e+001	-1.197e+000
800.617360	-1.399e+002	-1.182e+001	-1.234e+000
