#time[s]	yaw[degree]	pitch[degree]	roll[degree]
2200.008057	1.144e+002	-1.021e+001	-2.435e+000
2200.011058	1.144e+002	-1.024e+001	-2.442e+000
2200.022994	1.144e+002	-1.026e+001	-2.443e+000
2200.033025	1.144e+002	-1.029e+001	-2.451e+000
2200.044501	1.144e+002	-1.032e+001	-2.452e+000
2200.055061	1.144e+002	-1.034e+001	-2.453e+000
2200.062116	1.145e+002	-1.037e+001	-2.445e+000
2200.070775	1.145e+002	-1.040e+001	-2.433e+000
2200.082438	1.145e+002	-1.043e+001	-2.425e+000
2200.090597	1.145e+002	-1.046e+001	-2.407e+000
2200.101747	1.145e+002	-1.049e+001	-2.395e+000
2200.110636	1.145e+002	-1.052e+001	-2.371e+000
2200.122328	1.145e+002	-1.055e+001	-2.352e+000
2200.130487	1.145e+002	-1.058e+001	-2.325e+000
2200.140973	1.145e+002	-1.061e+001	-2.291e+000
2200.150424	1.145e+002	-1.063e+001	-2.257e+000
2200.162392	1.145e+002	-1.066e+001	-2.224e+000
2200.170401	1.145e+002	-1.070e+001	-2.186e+000
2200.181711	1.145e+002	-1.072e+001	-2.152e+000
2200.190442	1.145e+002	-1.075e+001	-2.109e+000
2200.200898	1.145e+002	-1.078e+001	-2.065e+000
2200.210432	1.145e+002	-1.080e+001	-2.020e+000
2200.221827	1.145e+002	-1.083e+001	-1.976e+000
2200.230352	1.145e+002	-1.086e+001	-1.927e+000
2200.240792	1.145e+002	-1.088e+001	-1.887e+000
2200.250217	1.145e+002	-1.091e+001	-1.837e+000
2200.260824	1.145e+002	-1.093e+001	-1.782e+000
2200.270237	1.145e+002	-1.095e+001	-1.736e+000
2200.280710	1.145e+002	-1.097e+001	-1.690e+000
2200.290159	1.145e+002	-1.100e+001	-1.635e+000
2200.300585	1.145e+002	-1.102e+001	-1.588e+000
2200.310275	1.145e+002	-1.103e+001	-1.536e+000
2200.320630	1.145e+002	-1.105e+001	-1.485e+000
2200.333014	1.145e+002	-1.107e+001	-1.433e+000
2200.340556	1.145e+002	-1.108e+001	-1.381e+000
2200.350067	1.145e+002	-1.109e+001	-1.327e+000
2200.367812	1.144e+002	-1.111e+001	-1.275e+000
2200.370021	1.144e+002	-1.112e+001	-1.221e+000
2200.382002	1.144e+002	-1.113e+001	-1.169e+000
2200.392782	1.144e+002	-1.114e+001	-1.114e+000
2200.400172	1.144e+002	-1.115e+001	-1.060e+000
2200.409819	1.144e+002	-1.115e+001	-1.010e+000
2200.420191	1.144e+002	-1.115e+001	-9.562e-001
2200.429709	1.144e+002	-1.115e+001	-9.061e-001
2200.440217	1.144e+002	-1.116e+001	-8.512e-001
2200.449670	1.144e+002	-1.116e+001	-8.010e-001
2200.460064	1.144e+002	-1.116e+001	-7.546e-001
2200.469601	1.144e+002	-1.116e+001	-7.038e-001
2200.480056	1.144e+002	-1.115e+001	-6.574e-001
2200.489636	1.144e+002	-1.114e+001	-6.051e-001
2200.500048	1.144e+002	-1.114e+001	-5.586e-001
2200.509659	1.144e+002	-1.113e+001	-5.154e-001
2200.520051	1.144e+002	-1.112e+001	-4.690e-001
2200.529590	1.144e+002	-1.111e+001	-4.300e-001
2200.540254	1.143e+002	-1.110e+001	-3.926e-001
2200.549487	1.143e+002	-1.109e+001	-3.500e-001
2200.559941	1.143e+002	-1.107e+001	-3.110e-001
2200.569444	1.143e+002	-1.106e+001	-2.780e-001
2200.580002	1.143e+002	-1.104e+001	-2.385e-001
2200.589461	1.143e+002	-1.102e+001	-2.095e-001
2200.599940	1.143e+002	-1.100e+001	-1.802e-001
2200.609511	1.143e+002	-1.098e+001	-1.451e-001
2200.620248	1.143e+002	-1.096e+001	-1.254e-001
2200.629419	1.143e+002	-1.094e+001	-1.002e-001
2200.641868	1.143e+002	-1.091e+001	-7.990e-002
2200.649481	1.143e+002	-1.089e+001	-6.396e-002
2200.659829	1.143e+002	-1.087e+001	-5.048e-002
2200.669327	1.143e+002	-1.085e+001	-4.040e-002
2200.679764	1.143e+002	-1.082e+001	-3.032e-002
2200.689331	1.143e+002	-1.080e+001	-3.021e-002
2200.699863	1.144e+002	-1.077e+001	-2.389e-002
2200.713870	1.144e+002	-1.075e+001	-1.967e-002
2200.719700	1.144e+002	-1.073e+001	-2.542e-002
2200.729230	1.144e+002	-1.070e+001	-2.496e-002
2200.739702	1.144e+002	-1.068e+001	-3.071e-002
2200.749237	1.144e+002	-1.066e+001	-3.611e-002
2200.759709	1.144e+002	-1.064e+001	-4.151e-002
2200.769615	1.144e+002	-1.061e+001	-5.156e-002
2200.779604	1.144e+002	-1.059e+001	-6.282e-002
2200.789177	1.144e+002	-1.057e+001	-7.819e-002
2200.799584	1.144e+002	-1.055e+001	-9.321e-002
2200.809184	1.144e+002	-1.052e+001	-1.129e-001
2200.820038	1.144e+002	-1.050e+001	-1.341e-001
2200.829103	1.144e+002	-1.047e+001	-1.529e-001
2200.839529	1.144e+002	-1.045e+001	-1.741e-001
2200.851133	1.144e+002	-1.043e+001	-2.051e-001
2200.859504	1.144e+002	-1.040e+001	-2.301e-001
2200.869014	1.145e+002	-1.038e+001	-2.612e-001
2200.879569	1.145e+002	-1.036e+001	-2.920e-001
2200.889010	1.145e+002	-1.033e+001	-3.228e-001
2200.899418	1.145e+002	-1.031e+001	-3.539e-001
2200.909059	1.145e+002	-1.030e+001	-3.874e-001
2200.919408	1.145e+002	-1.028e+001	-4.179e-001
2200.930352	1.145e+002	-1.026e+001	-4.455e-001
2200.939710	1.145e+002	-1.024e+001	-4.822e-001
2200.949140	1.145e+002	-1.023e+001	-5.095e-001
2200.959685	1.145e+002	-1.021e+001	-5.371e-001
2200.969156	1.145e+002	-1.020e+001	-5.668e-001
2200.979652	1.145e+002	-1.019e+001	-5.936e-001
2200.989263	1.146e+002	-1.018e+001	-6.233e-001
2200.999571	1.146e+002	-1.017e+001	-6.568e-001
2201.009243	1.146e+002	-1.016e+001	-6.803e-001
2201.019545	1.146e+002	-1.015e+001	-7.197e-001
2201.029529	1.146e+002	-1.014e+001	-7.494e-001
2201.039568	1.146e+002	-1.013e+001	-7.887e-001
2201.049118	1.146e+002	-1.012e+001	-8.219e-001
2201.059655	1.146e+002	-1.012e+001	-8.574e-001
2201.068989	1.146e+002	-1.012e+001	-8.989e-001
2201.079476	1.147e+002	-1.012e+001	-9.342e-001
2201.089023	1.147e+002	-1.011e+001	-9.799e-001
2201.099437	1.147e+002	-1.011e+001	-1.021e+000
2201.109077	1.147e+002	-1.011e+001	-1.057e+000
2201.119352	1.147e+002	-1.012e+001	-1.094e+000
2201.128929	1.147e+002	-1.012e+001	-1.130e+000
2201.139395	1.147e+002	-1.012e+001	-1.168e+000
2201.148955	1.147e+002	-1.013e+001	-1.202e+000
2201.159329	1.148e+002	-1.014e+001	-1.234e+000
2201.168824	1.148e+002	-1.015e+001	-1.268e+000
2201.179401	1.148e+002	-1.016e+001	-1.306e+000
2201.190164	1.148e+002	-1.017e+001	-1.334e+000
2201.201220	1.148e+002	-1.019e+001	-1.364e+000
2201.210012	1.148e+002	-1.019e+001	-1.393e+000
2201.220668	1.148e+002	-1.021e+001	-1.427e+000
2201.236531	1.148e+002	-1.022e+001	-1.455e+000
2201.238836	1.149e+002	-1.023e+001	-1.490e+000
2201.256733	1.149e+002	-1.024e+001	-1.524e+000
2201.258054	1.149e+002	-1.025e+001	-1.558e+000
2201.278897	1.149e+002	-1.027e+001	-1.592e+000
2201.279513	1.149e+002	-1.028e+001	-1.626e+000
2201.288629	1.149e+002	-1.030e+001	-1.667e+000
2201.302370	1.149e+002	-1.031e+001	-1.698e+000
2201.311434	1.150e+002	-1.032e+001	-1.725e+000
2201.318149	1.150e+002	-1.034e+001	-1.756e+000
2201.329470	1.150e+002	-1.035e+001	-1.790e+000
2201.338138	1.150e+002	-1.037e+001	-1.815e+000
2201.348514	1.150e+002	-1.039e+001	-1.836e+000
2201.373093	1.150e+002	-1.041e+001	-1.866e+000
2201.373506	1.150e+002	-1.042e+001	-1.885e+000
2201.378270	1.150e+002	-1.044e+001	-1.906e+000
2201.388381	1.151e+002	-1.046e+001	-1.921e+000
2201.400844	1.151e+002	-1.048e+001	-1.942e+000
2201.409152	1.151e+002	-1.050e+001	-1.956e+000
2201.427766	1.151e+002	-1.051e+001	-1.966e+000
2201.428524	1.151e+002	-1.052e+001	-1.975e+000
2201.438099	1.151e+002	-1.054e+001	-1.980e+000
2201.465993	1.151e+002	-1.056e+001	-1.995e+000
2201.466766	1.151e+002	-1.057e+001	-2.004e+000
2201.468238	1.151e+002	-1.059e+001	-2.003e+000
2201.478978	1.152e+002	-1.060e+001	-2.012e+000
2201.489689	1.152e+002	-1.062e+001	-2.011e+000
2201.499460	1.152e+002	-1.063e+001	-2.011e+000
2201.508472	1.152e+002	-1.065e+001	-2.016e+000
2201.534670	1.152e+002	-1.068e+001	-2.015e+000
2201.537875	1.152e+002	-1.070e+001	-2.005e+000
2201.548382	1.152e+002	-1.071e+001	-2.004e+000
2201.560978	1.152e+002	-1.073e+001	-1.993e+000
2201.568357	1.152e+002	-1.075e+001	-1.992e+000
2201.579178	1.152e+002	-1.076e+001	-1.983e+000
2201.589333	1.152e+002	-1.078e+001	-1.972e+000
2201.598054	1.152e+002	-1.080e+001	-1.968e+000
2201.608568	1.152e+002	-1.081e+001	-1.954e+000
2201.618040	1.153e+002	-1.084e+001	-1.940e+000
2201.628462	1.153e+002	-1.085e+001	-1.930e+000
2201.637906	1.153e+002	-1.087e+001	-1.913e+000
2201.648493	1.153e+002	-1.089e+001	-1.903e+000
2201.657805	1.153e+002	-1.091e+001	-1.882e+000
2201.668205	1.153e+002	-1.092e+001	-1.865e+000
2201.677496	1.153e+002	-1.093e+001	-1.848e+000
2201.687795	1.153e+002	-1.094e+001	-1.826e+000
2201.698332	1.153e+002	-1.096e+001	-1.805e+000
2201.726366	1.153e+002	-1.097e+001	-1.782e+000
2201.728532	1.153e+002	-1.098e+001	-1.760e+000
2201.729476	1.153e+002	-1.100e+001	-1.733e+000
2201.737499	1.153e+002	-1.101e+001	-1.711e+000
2201.748069	1.153e+002	-1.102e+001	-1.688e+000
2201.757587	1.153e+002	-1.103e+001	-1.655e+000
2201.768144	1.153e+002	-1.104e+001	-1.632e+000
2201.777493	1.153e+002	-1.106e+001	-1.599e+000
2201.787870	1.152e+002	-1.106e+001	-1.570e+000
2201.797447	1.152e+002	-1.107e+001	-1.542e+000
2201.807886	1.152e+002	-1.108e+001	-1.509e+000
2201.817352	1.152e+002	-1.109e+001	-1.480e+000
2201.827881	1.152e+002	-1.110e+001	-1.442e+000
2201.837330	1.152e+002	-1.110e+001	-1.412e+000
2201.847842	1.152e+002	-1.111e+001	-1.374e+000
2201.858067	1.152e+002	-1.112e+001	-1.345e+000
2201.867917	1.152e+002	-1.112e+001	-1.310e+000
2201.877286	1.152e+002	-1.113e+001	-1.281e+000
2201.887705	1.152e+002	-1.113e+001	-1.247e+000
2201.897179	1.152e+002	-1.114e+001	-1.217e+000
2201.907822	1.152e+002	-1.114e+001	-1.186e+000
2201.917325	1.152e+002	-1.114e+001	-1.161e+000
2201.928447	1.152e+002	-1.114e+001	-1.136e+000
2201.937342	1.152e+002	-1.114e+001	-1.110e+000
2201.947714	1.152e+002	-1.113e+001	-1.089e+000
2201.957206	1.152e+002	-1.113e+001	-1.067e+000
2201.969953	1.152e+002	-1.112e+001	-1.045e+000
2201.977218	1.152e+002	-1.112e+001	-1.023e+000
2201.987460	1.152e+002	-1.111e+001	-1.011e+000
2201.997064	1.152e+002	-1.110e+001	-9.894e-001
2202.007629	1.152e+002	-1.109e+001	-9.717e-001
2202.017392	1.152e+002	-1.109e+001	-9.590e-001
2202.027624	1.151e+002	-1.108e+001	-9.467e-001
2202.037069	1.151e+002	-1.107e+001	-9.284e-001
2202.047564	1.151e+002	-1.105e+001	-9.204e-001
2202.057110	1.151e+002	-1.104e+001	-9.018e-001
2202.067561	1.151e+002	-1.103e+001	-8.932e-001
2202.076959	1.151e+002	-1.101e+001	-8.787e-001
2202.087442	1.151e+002	-1.100e+001	-8.707e-001
2202.096871	1.151e+002	-1.099e+001	-8.580e-001
2202.107581	1.151e+002	-1.097e+001	-8.531e-001
2202.116999	1.151e+002	-1.096e+001	-8.444e-001
2202.127437	1.151e+002	-1.094e+001	-8.392e-001
2202.136777	1.151e+002	-1.092e+001	-8.343e-001
2202.147411	1.151e+002	-1.090e+001	-8.353e-001
2202.159263	1.151e+002	-1.088e+001	-8.342e-001
2202.167385	1.151e+002	-1.086e+001	-8.386e-001
2202.178238	1.151e+002	-1.084e+001	-8.433e-001
2202.187741	1.151e+002	-1.081e+001	-8.480e-001
2202.196939	1.151e+002	-1.079e+001	-8.561e-001
2202.207382	1.150e+002	-1.077e+001	-8.667e-001
2202.216624	1.150e+002	-1.074e+001	-8.752e-001
2202.227011	1.150e+002	-1.071e+001	-8.828e-001
