#time[s]	yaw[degree]	pitch[degree]	roll[degree]
600.006958	9.751e+001	-7.459e+000	2.569e+000
600.016454	9.746e+001	-7.507e+000	2.559e+000
600.026889	9.741e+001	-7.550e+000	2.554e+000
600.036435	9.737e+001	-7.592e+000	2.540e+000
600.049581	9.732e+001	-7.625e+000	2.526e+000
600.056438	9.727e+001	-7.667e+000	2.512e+000
600.066878	9.722e+001	-7.700e+000	2.498e+000
600.078409	9.716e+001	-7.732e+000	2.474e+000
600.086839	9.711e+001	-7.764e+000	2.460e+000
600.096370	9.707e+001	-7.792e+000	2.442e+000
600.106846	9.702e+001	-7.820e+000	2.434e+000
600.116310	9.697e+001	-7.847e+000	2.416e+000
600.126750	9.691e+001	-7.865e+000	2.408e+000
600.136370	9.687e+001	-7.888e+000	2.395e+000
600.148867	9.682e+001	-7.901e+000	2.383e+000
600.156279	9.677e+001	-7.919e+000	2.365e+000
600.168811	9.673e+001	-7.932e+000	2.353e+000
600.177788	9.667e+001	-7.944e+000	2.331e+000
600.186693	9.662e+001	-7.956e+000	2.309e+000
600.196215	9.658e+001	-7.969e+000	2.287e+000
600.206801	9.653e+001	-7.976e+000	2.269e+000
600.216203	9.649e+001	-7.984e+000	2.243e+000
600.226777	9.644e+001	-7.991e+000	2.225e+000
600.236165	9.640e+001	-7.994e+000	2.204e+000
600.246849	9.634e+001	-8.001e+000	2.178e+000
600.256183	9.630e+001	-8.004e+000	2.156e+000
600.268890	9.625e+001	-8.002e+000	2.130e+000
600.276193	9.621e+001	-7.999e+000	2.103e+000
600.287332	9.617e+001	-7.991e+000	2.073e+000
600.296376	9.611e+001	-7.984e+000	2.052e+000
600.306526	9.607e+001	-7.972e+000	2.026e+000
600.316224	9.602e+001	-7.959e+000	2.000e+000
600.326465	9.598e+001	-7.948e+000	1.984e+000
600.336037	9.594e+001	-7.931e+000	1.963e+000
600.346730	9.589e+001	-7.909e+000	1.948e+000
600.356356	9.585e+001	-7.882e+000	1.928e+000
600.366431	9.581e+001	-7.866e+000	1.917e+000
600.376046	9.576e+001	-7.844e+000	1.901e+000
600.386381	9.573e+001	-7.818e+000	1.891e+000
600.396156	9.568e+001	-7.792e+000	1.880e+000
600.406387	9.564e+001	-7.771e+000	1.874e+000
600.416072	9.561e+001	-7.745e+000	1.863e+000
600.426355	9.556e+001	-7.719e+000	1.853e+000
600.444090	9.553e+001	-7.693e+000	1.842e+000
600.446348	9.548e+001	-7.666e+000	1.821e+000
