#time[s]	yaw[degree]	pitch[degree]	roll[degree]
200.004251	-2.888e+001	-1.335e+001	-5.616e-001
200.012899	-2.889e+001	-1.335e+001	-5.608e-001
200.022195	-2.889e+001	-1.335e+001	-5.600e-001
200.032605	-2.890e+001	-1.335e+001	-5.592e-001
200.042049	-2.892e+001	-1.334e+001	-5.591e-001
200.052489	-2.892e+001	-1.333e+001	-5.533e-001
200.062006	-2.893e+001	-1.333e+001	-5.542e-001
200.072460	-2.894e+001	-1.332e+001	-5.543e-001
200.081975	-2.895e+001	-1.330e+001	-5.502e-001
200.092521	-2.895e+001	-1.329e+001	-5.528e-001
200.102018	-2.896e+001	-1.327e+001	-5.496e-001
200.112840	-2.897e+001	-1.325e+001	-5.520e-001
200.124327	-2.898e+001	-1.323e+001	-5.490e-001
200.133631	-2.898e+001	-1.320e+001	-5.483e-001
200.141886	-2.899e+001	-1.317e+001	-5.468e-001
200.152333	-2.900e+001	-1.314e+001	-5.461e-001
200.161867	-2.901e+001	-1.312e+001	-5.514e-001
200.172331	-2.902e+001	-1.308e+001	-5.516e-001
200.181824	-2.903e+001	-1.305e+001	-5.527e-001
200.192323	-2.904e+001	-1.301e+001	-5.529e-001
200.202913	-2.904e+001	-1.297e+001	-5.551e-001
200.212283	-2.905e+001	-1.292e+001	-5.571e-001
200.227109	-2.906e+001	-1.288e+001	-5.598e-001
200.232275	-2.907e+001	-1.284e+001	-5.618e-001
200.244392	-2.907e+001	-1.279e+001	-5.657e-001
200.252244	-2.908e+001	-1.274e+001	-5.695e-001
200.262205	-2.909e+001	-1.269e+001	-5.732e-001
200.273092	-2.910e+001	-1.264e+001	-5.771e-001
200.283108	-2.910e+001	-1.259e+001	-5.834e-001
200.292683	-2.910e+001	-1.253e+001	-5.823e-001
200.301787	-2.911e+001	-1.247e+001	-5.878e-001
200.312177	-2.912e+001	-1.241e+001	-5.866e-001
200.321671	-2.913e+001	-1.236e+001	-5.923e-001
200.332157	-2.914e+001	-1.230e+001	-5.911e-001
200.342985	-2.914e+001	-1.224e+001	-5.969e-001
200.352248	-2.915e+001	-1.218e+001	-5.974e-001
200.363136	-2.916e+001	-1.211e+001	-5.982e-001
200.372132	-2.916e+001	-1.206e+001	-6.045e-001
200.381762	-2.917e+001	-1.199e+001	-6.053e-001
200.394260	-2.917e+001	-1.193e+001	-6.059e-001
200.401716	-2.918e+001	-1.186e+001	-6.067e-001
200.412586	-2.919e+001	-1.180e+001	-6.141e-001
200.421748	-2.919e+001	-1.174e+001	-6.156e-001
200.432307	-2.920e+001	-1.167e+001	-6.230e-001
200.441475	-2.920e+001	-1.161e+001	-6.306e-001
200.452093	-2.921e+001	-1.155e+001	-6.320e-001
200.461609	-2.921e+001	-1.148e+001	-6.396e-001
200.472059	-2.922e+001	-1.142e+001	-6.470e-001
200.481878	-2.922e+001	-1.135e+001	-6.486e-001
200.492097	-2.923e+001	-1.129e+001	-6.561e-001
200.502328	-2.923e+001	-1.123e+001	-6.627e-001
200.512029	-2.924e+001	-1.117e+001	-6.702e-001
200.521462	-2.924e+001	-1.112e+001	-6.761e-001
200.532434	-2.925e+001	-1.106e+001	-6.826e-001
200.541505	-2.924e+001	-1.100e+001	-6.892e-001
