#time[s]	yaw[degree]	pitch[degree]	roll[degree]
1200.001426	4.811e+001	-5.240e+000	1.532e+000
1200.009241	4.806e+001	-5.250e+000	1.560e+000
1200.018960	4.801e+001	-5.265e+000	1.579e+000
1200.028500	4.795e+001	-5.278e+000	1.613e+000
1200.038950	4.790e+001	-5.295e+000	1.638e+000
1200.048499	4.784e+001	-5.321e+000	1.667e+000
1200.058746	4.779e+001	-5.338e+000	1.692e+000
1200.068479	4.774e+001	-5.364e+000	1.721e+000
1200.081484	4.768e+001	-5.394e+000	1.741e+000
1200.089636	4.763e+001	-5.420e+000	1.770e+000
1200.101380	4.758e+001	-5.449e+000	1.789e+000
1200.108334	4.753e+001	-5.482e+000	1.815e+000
1200.118878	4.748e+001	-5.512e+000	1.835e+000
1200.129010	4.742e+001	-5.541e+000	1.855e+000
1200.138877	4.737e+001	-5.574e+000	1.881e+000
1200.148406	4.732e+001	-5.606e+000	1.907e+000
1200.158670	4.727e+001	-5.641e+000	1.939e+000
1200.168386	4.722e+001	-5.673e+000	1.966e+000
1200.178825	4.717e+001	-5.715e+000	1.995e+000
1200.189097	4.712e+001	-5.757e+000	2.025e+000
1200.202045	4.708e+001	-5.796e+000	2.048e+000
1200.208366	4.702e+001	-5.843e+000	2.076e+000
1200.218780	4.698e+001	-5.889e+000	2.096e+000
1200.228308	4.693e+001	-5.927e+000	2.120e+000
1200.238768	4.689e+001	-5.969e+000	2.134e+000
1200.251504	4.684e+001	-6.015e+000	2.155e+000
1200.258668	4.679e+001	-6.054e+000	2.162e+000
1200.281574	4.675e+001	-6.099e+000	2.183e+000
1200.282002	4.670e+001	-6.148e+000	2.195e+000
1200.288369	4.665e+001	-6.190e+000	2.209e+000
1200.304095	4.661e+001	-6.242e+000	2.227e+000
1200.308212	4.657e+001	-6.291e+000	2.239e+000
1200.320999	4.652e+001	-6.339e+000	2.250e+000
1200.328171	4.648e+001	-6.388e+000	2.262e+000
1200.338832	4.644e+001	-6.434e+000	2.267e+000
1200.348229	4.640e+001	-6.483e+000	2.279e+000
1200.358599	4.636e+001	-6.531e+000	2.290e+000
