#time[s]	yaw[degree]	pitch[degree]	roll[degree]
1400.002625	-1.265e+002	-1.031e+001	-8.319e-001
1400.020508	-1.265e+002	-1.032e+001	-8.710e-001
1400.021025	-1.265e+002	-1.032e+001	-9.072e-001
1400.029589	-1.265e+002	-1.033e+001	-9.525e-001
1400.044351	-1.264e+002	-1.034e+001	-9.887e-001
1400.051249	-1.264e+002	-1.035e+001	-1.035e+000
1400.065634	-1.264e+002	-1.035e+001	-1.071e+000
1400.068001	-1.264e+002	-1.036e+001	-1.107e+000
1400.078388	-1.263e+002	-1.036e+001	-1.146e+000
1400.087693	-1.263e+002	-1.036e+001	-1.183e+000
1400.148726	-1.263e+002	-1.036e+001	-1.216e+000
1400.149214	-1.263e+002	-1.037e+001	-1.259e+000
1400.149805	-1.262e+002	-1.037e+001	-1.292e+000
1400.150415	-1.262e+002	-1.036e+001	-1.325e+000
1400.151152	-1.262e+002	-1.036e+001	-1.365e+000
1400.151810	-1.262e+002	-1.036e+001	-1.398e+000
1400.158315	-1.261e+002	-1.037e+001	-1.435e+000
1400.173217	-1.261e+002	-1.037e+001	-1.468e+000
1400.179933	-1.261e+002	-1.037e+001	-1.502e+000
1400.187893	-1.260e+002	-1.037e+001	-1.535e+000
1400.204518	-1.260e+002	-1.036e+001	-1.569e+000
1400.207866	-1.260e+002	-1.036e+001	-1.602e+000
1400.218370	-1.260e+002	-1.037e+001	-1.629e+000
1400.227840	-1.259e+002	-1.037e+001	-1.663e+000
1400.240714	-1.259e+002	-1.037e+001	-1.697e+000
1400.247839	-1.259e+002	-1.037e+001	-1.724e+000
1400.258332	-1.259e+002	-1.036e+001	-1.748e+000
1400.269229	-1.258e+002	-1.037e+001	-1.775e+000
1400.278876	-1.258e+002	-1.036e+001	-1.799e+000
1400.287798	-1.258e+002	-1.037e+001	-1.820e+000
1400.298359	-1.258e+002	-1.037e+001	-1.838e+000
1400.307576	-1.257e+002	-1.037e+001	-1.850e+000
1400.317294	-1.257e+002	-1.037e+001	-1.862e+000
1400.327793	-1.257e+002	-1.038e+001	-1.867e+000
1400.337293	-1.257e+002	-1.039e+001	-1.873e+000
1400.347702	-1.256e+002	-1.039e+001	-1.872e+000
1400.357238	-1.256e+002	-1.040e+001	-1.878e+000
1400.367715	-1.256e+002	-1.042e+001	-1.874e+000
1400.377512	-1.255e+002	-1.043e+001	-1.873e+000
1400.387673	-1.255e+002	-1.044e+001	-1.866e+000
1400.397133	-1.255e+002	-1.046e+001	-1.853e+000
1400.407593	-1.255e+002	-1.047e+001	-1.850e+000
1400.419668	-1.254e+002	-1.049e+001	-1.843e+000
1400.427674	-1.254e+002	-1.050e+001	-1.830e+000
1400.437186	-1.254e+002	-1.052e+001	-1.816e+000
1400.447587	-1.254e+002	-1.053e+001	-1.803e+000
1400.457129	-1.253e+002	-1.055e+001	-1.784e+000
1400.467525	-1.253e+002	-1.057e+001	-1.764e+000
1400.478715	-1.253e+002	-1.060e+001	-1.747e+000
1400.487552	-1.253e+002	-1.061e+001	-1.728e+000
1400.497145	-1.252e+002	-1.063e+001	-1.708e+000
