#time[s]	yaw[degree]	pitch[degree]	roll[degree]
1400.019157	1.887e+001	-6.844e+000	2.424e+000
1400.020928	1.886e+001	-6.811e+000	2.394e+000
1400.023497	1.886e+001	-6.777e+000	2.364e+000
1400.044249	1.886e+001	-6.744e+000	2.334e+000
1400.044729	1.885e+001	-6.710e+000	2.298e+000
1400.053822	1.885e+001	-6.676e+000	2.268e+000
1400.065708	1.885e+001	-6.641e+000	2.224e+000
1400.075137	1.884e+001	-6.606e+000	2.187e+000
1400.086395	1.884e+001	-6.571e+000	2.144e+000
1400.134461	1.884e+001	-6.535e+000	2.100e+000
1400.148837	1.883e+001	-6.498e+000	2.050e+000
1400.149515	1.883e+001	-6.463e+000	2.006e+000
1400.150112	1.882e+001	-6.427e+000	1.962e+000
1400.150773	1.882e+001	-6.398e+000	1.911e+000
1400.151479	1.882e+001	-6.362e+000	1.867e+000
1400.155421	1.881e+001	-6.326e+000	1.823e+000
1400.164253	1.881e+001	-6.292e+000	1.786e+000
1400.173652	1.881e+001	-6.265e+000	1.749e+000
1400.184220	1.881e+001	-6.231e+000	1.718e+000
1400.194941	1.881e+001	-6.198e+000	1.688e+000
1400.204706	1.881e+001	-6.165e+000	1.658e+000
1400.213789	1.880e+001	-6.140e+000	1.634e+000
1400.224467	1.881e+001	-6.109e+000	1.618e+000
1400.233695	1.880e+001	-6.084e+000	1.601e+000
1400.245422	1.881e+001	-6.060e+000	1.583e+000
1400.253695	1.882e+001	-6.036e+000	1.565e+000
1400.264091	1.881e+001	-6.020e+000	1.554e+000
1400.278764	1.882e+001	-6.003e+000	1.535e+000
1400.284072	1.883e+001	-5.987e+000	1.523e+000
1400.293564	1.883e+001	-5.970e+000	1.504e+000
1400.306350	1.884e+001	-5.960e+000	1.485e+000
1400.313889	1.884e+001	-5.950e+000	1.465e+000
1400.323940	1.884e+001	-5.941e+000	1.452e+000
1400.333555	1.885e+001	-5.931e+000	1.439e+000
1400.343965	1.885e+001	-5.928e+000	1.418e+000
1400.353525	1.885e+001	-5.927e+000	1.411e+000
1400.363925	1.886e+001	-5.925e+000	1.397e+000
1400.373398	1.887e+001	-5.924e+000	1.390e+000
1400.383903	1.887e+001	-5.929e+000	1.382e+000
1400.395945	1.888e+001	-5.937e+000	1.380e+000
1400.403747	1.888e+001	-5.942e+000	1.372e+000
1400.414125	1.888e+001	-5.949e+000	1.371e+000
1400.425594	1.889e+001	-5.963e+000	1.368e+000
1400.433362	1.889e+001	-5.977e+000	1.366e+000
1400.445548	1.890e+001	-5.998e+000	1.362e+000
1400.453365	1.891e+001	-6.013e+000	1.366e+000
1400.463774	1.891e+001	-6.036e+000	1.376e+000
1400.473226	1.892e+001	-6.058e+000	1.379e+000
1400.483728	1.892e+001	-6.087e+000	1.382e+000
1400.493280	1.892e+001	-6.111e+000	1.399e+000
1400.505394	1.892e+001	-6.142e+000	1.415e+000
1400.513144	1.893e+001	-6.174e+000	1.438e+000
1400.524241	1.894e+001	-6.205e+000	1.454e+000
1400.532948	1.894e+001	-6.244e+000	1.476e+000
