#time[s]	yaw[degree]	pitch[degree]	roll[degree]
2600.000596	-6.742e+000	-6.792e+000	9.593e-001
2600.011734	-6.766e+000	-6.808e+000	9.335e-001
2600.020522	-6.782e+000	-6.824e+000	9.073e-001
2600.031067	-6.804e+000	-6.845e+000	8.888e-001
2600.040550	-6.818e+000	-6.860e+000	8.765e-001
2600.051071	-6.841e+000	-6.875e+000	8.717e-001
2600.060532	-6.856e+000	-6.882e+000	8.590e-001
2600.079640	-6.870e+000	-6.896e+000	8.537e-001
2600.080464	-6.884e+000	-6.910e+000	8.553e-001
2600.091001	-6.900e+000	-6.925e+000	8.501e-001
2600.104146	-6.908e+000	-6.940e+000	8.305e-001
2600.126108	-6.924e+000	-6.949e+000	7.969e-001
2600.126342	-6.933e+000	-6.965e+000	7.633e-001
2600.131918	-6.942e+000	-6.981e+000	7.366e-001
2600.143735	-6.950e+000	-6.996e+000	7.170e-001
2600.151174	-6.960e+000	-7.012e+000	6.905e-001
2600.174689	-6.969e+000	-7.035e+000	6.573e-001
2600.174927	-6.978e+000	-7.058e+000	6.241e-001
2600.186185	-6.987e+000	-7.081e+000	5.910e-001
2600.190776	-6.991e+000	-7.104e+000	5.575e-001
2600.213875	-7.000e+000	-7.128e+000	5.173e-001
2600.214230	-7.011e+000	-7.145e+000	4.629e-001
2600.220200	-7.015e+000	-7.156e+000	4.006e-001
2600.231501	-7.025e+000	-7.166e+000	3.457e-001
2600.312910	-7.038e+000	-7.186e+000	2.425e-001
2600.313290	-7.049e+000	-7.196e+000	1.946e-001
2600.313577	-7.053e+000	-7.207e+000	1.462e-001
2600.314047	-7.063e+000	-7.224e+000	9.179e-002
2600.314618	-7.067e+000	-7.234e+000	3.648e-002
2600.315192	-7.077e+000	-7.251e+000	-1.100e-002
2600.315816	-7.086e+000	-7.260e+000	-3.800e-002
2600.323070	-7.088e+000	-7.276e+000	-7.198e-002
2600.339411	-7.098e+000	-7.292e+000	-1.055e-001
2600.349951	-7.102e+000	-7.316e+000	-1.530e-001
2600.350647	-7.112e+000	-7.334e+000	-2.074e-001
2600.371614	-7.123e+000	-7.351e+000	-2.688e-001
2600.372053	-7.134e+000	-7.362e+000	-3.236e-001
2600.380236	-7.138e+000	-7.380e+000	-3.785e-001
2600.390690	-7.149e+000	-7.397e+000	-4.260e-001
2600.400233	-7.159e+000	-7.414e+000	-4.804e-001
2600.416559	-7.170e+000	-7.431e+000	-5.348e-001
2600.423183	-7.182e+000	-7.449e+000	-5.892e-001
2600.430629	-7.192e+000	-7.459e+000	-6.370e-001
2600.444825	-7.208e+000	-7.469e+000	-6.775e-001
2600.451516	-7.218e+000	-7.485e+000	-7.110e-001
2600.461070	-7.227e+000	-7.487e+000	-7.453e-001
2600.470664	-7.237e+000	-7.496e+000	-7.793e-001
2600.481121	-7.247e+000	-7.506e+000	-8.132e-001
2600.490563	-7.255e+000	-7.514e+000	-8.402e-001
2600.500797	-7.257e+000	-7.516e+000	-8.680e-001
2600.510272	-7.265e+000	-7.531e+000	-8.876e-001
2600.530990	-7.274e+000	-7.539e+000	-9.076e-001
2600.531515	-7.276e+000	-7.541e+000	-9.354e-001
2600.541572	-7.285e+000	-7.550e+000	-9.555e-001
2600.551542	-7.287e+000	-7.565e+000	-9.755e-001
2600.560590	-7.295e+000	-7.573e+000	-9.885e-001
2600.570177	-7.295e+000	-7.580e+000	-9.950e-001
2600.580504	-7.303e+000	-7.588e+000	-1.008e+000
2600.591273	-7.304e+000	-7.596e+000	-1.022e+000
2600.600547	-7.305e+000	-7.604e+000	-1.042e+000
2600.610128	-7.313e+000	-7.605e+000	-1.055e+000
2600.620502	-7.316e+000	-7.606e+000	-1.069e+000
2600.629985	-7.324e+000	-7.615e+000	-1.089e+000
2600.640437	-7.332e+000	-7.616e+000	-1.110e+000
2600.650137	-7.333e+000	-7.617e+000	-1.131e+000
2600.660426	-7.342e+000	-7.612e+000	-1.159e+000
2600.669961	-7.351e+000	-7.614e+000	-1.186e+000
2600.680317	-7.353e+000	-7.616e+000	-1.214e+000
2600.689940	-7.361e+000	-7.617e+000	-1.234e+000
2600.700419	-7.369e+000	-7.618e+000	-1.255e+000
2600.709913	-7.370e+000	-7.619e+000	-1.269e+000
2600.720383	-7.377e+000	-7.613e+000	-1.275e+000
2600.731420	-7.384e+000	-7.605e+000	-1.269e+000
2600.740312	-7.383e+000	-7.598e+000	-1.255e+000
2600.749990	-7.382e+000	-7.597e+000	-1.241e+000
2600.760775	-7.388e+000	-7.589e+000	-1.227e+000
2600.769860	-7.387e+000	-7.581e+000	-1.214e+000
2600.780120	-7.386e+000	-7.581e+000	-1.207e+000
2600.789728	-7.385e+000	-7.573e+000	-1.193e+000
2600.800167	-7.385e+000	-7.572e+000	-1.179e+000
2600.809749	-7.384e+000	-7.571e+000	-1.165e+000
2600.820131	-7.390e+000	-7.571e+000	-1.158e+000
2600.829817	-7.389e+000	-7.563e+000	-1.144e+000
2600.840164	-7.389e+000	-7.562e+000	-1.138e+000
2600.851734	-7.395e+000	-7.555e+000	-1.131e+000
2600.860055	-7.395e+000	-7.541e+000	-1.124e+000
2600.869650	-7.401e+000	-7.533e+000	-1.117e+000
