#time[s]	yaw[degree]	pitch[degree]	roll[degree]
2700.003755	1.708e+002	-6.584e+000	1.912e+000
2700.014185	1.707e+002	-6.561e+000	1.934e+000
2700.023812	1.707e+002	-6.544e+000	1.958e+000
2700.037524	1.706e+002	-6.521e+000	1.973e+000
2700.043704	1.706e+002	-6.504e+000	1.996e+000
2700.054907	1.705e+002	-6.487e+000	2.020e+000
2700.063657	1.704e+002	-6.471e+000	2.043e+000
2700.074185	1.704e+002	-6.453e+000	2.073e+000
2700.084522	1.703e+002	-6.443e+000	2.097e+000
2700.094217	1.703e+002	-6.426e+000	2.127e+000
2700.115921	1.702e+002	-6.415e+000	2.157e+000
2700.116321	1.701e+002	-6.405e+000	2.181e+000
2700.137178	1.700e+002	-6.391e+000	2.243e+000
2700.167071	1.700e+002	-6.387e+000	2.275e+000
2700.167510	1.699e+002	-6.383e+000	2.313e+000
2700.167752	1.698e+002	-6.379e+000	2.344e+000
2700.174401	1.698e+002	-6.382e+000	2.376e+000
2700.183646	1.697e+002	-6.378e+000	2.407e+000
2700.195656	1.697e+002	-6.381e+000	2.439e+000
2700.207694	1.696e+002	-6.383e+000	2.478e+000
2700.225167	1.695e+002	-6.386e+000	2.510e+000
2700.225489	1.695e+002	-6.396e+000	2.543e+000
2700.235805	1.694e+002	-6.399e+000	2.575e+000
2700.246499	1.693e+002	-6.409e+000	2.608e+000
2700.255514	1.693e+002	-6.419e+000	2.633e+000
2700.263580	1.692e+002	-6.436e+000	2.667e+000
2700.274754	1.692e+002	-6.446e+000	2.693e+000
2700.287283	1.691e+002	-6.464e+000	2.719e+000
2700.301300	1.690e+002	-6.474e+000	2.752e+000
2700.303590	1.690e+002	-6.492e+000	2.772e+000
2700.314113	1.689e+002	-6.509e+000	2.799e+000
2700.324308	1.688e+002	-6.526e+000	2.825e+000
2700.337584	1.688e+002	-6.550e+000	2.852e+000
2700.343829	1.687e+002	-6.567e+000	2.879e+000
2700.355295	1.686e+002	-6.591e+000	2.907e+000
2700.363647	1.686e+002	-6.615e+000	2.934e+000
2700.376110	1.685e+002	-6.640e+000	2.955e+000
2700.394973	1.684e+002	-6.663e+000	2.982e+000
2700.396476	1.684e+002	-6.687e+000	3.017e+000
2700.406322	1.683e+002	-6.711e+000	3.045e+000
2700.416035	1.682e+002	-6.742e+000	3.066e+000
2700.425544	1.682e+002	-6.766e+000	3.094e+000
2700.435534	1.681e+002	-6.797e+000	3.115e+000
2700.445331	1.680e+002	-6.821e+000	3.143e+000
2700.454339	1.680e+002	-6.853e+000	3.165e+000
2700.463879	1.679e+002	-6.885e+000	3.179e+000
2700.474384	1.678e+002	-6.909e+000	3.200e+000
2700.483850	1.678e+002	-6.942e+000	3.215e+000
2700.494037	1.677e+002	-6.974e+000	3.222e+000
2700.503502	1.676e+002	-7.008e+000	3.230e+000
2700.513998	1.676e+002	-7.040e+000	3.238e+000
2700.523528	1.675e+002	-7.074e+000	3.239e+000
2700.534049	1.674e+002	-7.101e+000	3.240e+000
2700.548054	1.674e+002	-7.134e+000	3.241e+000
2700.553865	1.673e+002	-7.168e+000	3.241e+000
2700.563610	1.672e+002	-7.196e+000	3.228e+000
2700.573696	1.671e+002	-7.224e+000	3.221e+000
2700.583237	1.671e+002	-7.258e+000	3.216e+000
2700.593657	1.670e+002	-7.287e+000	3.203e+000
2700.603127	1.669e+002	-7.314e+000	3.196e+000
2700.613615	1.669e+002	-7.349e+000	3.184e+000
2700.623158	1.668e+002	-7.379e+000	3.163e+000
2700.635771	1.667e+002	-7.408e+000	3.143e+000
